id,latitude,longitude,neighbourhood_cleansed
39252289,49.89452,-97.14405,Daniel McIntyre
39307407,49.89492,-96.96765,Transcona
39511582,49.91645,-97.0435,Transcona
39609557,49.89352,-97.03319,Transcona
39672260,49.7935,-97.15721,St. Norbert - Seine River
39675590,49.86369,-97.07628,St. Boniface
39692398,49.79254,-97.15598,St. Norbert - Seine River
39692950,49.79383,-97.15738,St. Norbert - Seine River
39719794,49.79222,-97.15724,St. Norbert - Seine River
39720181,49.79161,-97.15682,St. Norbert - Seine River
39756574,49.79458,-97.16623,Waverley West
39846597,49.91425,-97.10602,Elmwood - East Kildonan
39887452,49.87201,-97.12549,St. Boniface
39983373,49.86675,-97.1379,Fort Rouge - East Fort Garry
39987036,49.78139,-97.20824,Waverley West
39989059,49.78606,-97.18735,Waverley West
40028073,49.7851,-97.2092,Waverley West
40089718,49.89436,-97.14142,Fort Rouge - East Fort Garry
40330257,49.80636,-97.16425,Waverley West
40405521,49.88925,-97.21461,St. James
40507724,49.87863,-97.14212,Fort Rouge - East Fort Garry
40509548,49.90858,-97.0023,Transcona
40511182,49.89256,-97.14342,Fort Rouge - East Fort Garry
40516102,49.89333,-97.12495,St. Boniface
40579627,49.87695,-97.147,Fort Rouge - East Fort Garry
40594441,49.83576,-97.2554,Charleswood - Tuxedo - Westwood
41034780,49.84446,-97.22541,Charleswood - Tuxedo - Westwood
41034920,49.84423,-97.22605,Charleswood - Tuxedo - Westwood
41035096,49.84601,-97.22309,Charleswood - Tuxedo - Westwood
41107902,49.89456,-97.14566,Daniel McIntyre
41152952,49.89307,-97.14375,Fort Rouge - East Fort Garry
41207934,49.88624,-97.14297,Fort Rouge - East Fort Garry
41266813,49.84632,-97.22587,Charleswood - Tuxedo - Westwood
41508433,49.92574,-97.17149,Point Douglas
41577441,49.78632,-97.19643,Waverley West
41622111,49.89299,-97.14435,Fort Rouge - East Fort Garry
41649075,49.8446,-97.22531,Charleswood - Tuxedo - Westwood
41690415,49.89342,-97.17701,Daniel McIntyre
41904324,49.89743,-97.14268,Point Douglas
41934128,49.84468,-97.22714,Charleswood - Tuxedo - Westwood
42198973,49.84422,-97.22745,Charleswood - Tuxedo - Westwood
42199225,49.84403,-97.22537,Charleswood - Tuxedo - Westwood
42200274,49.84628,-97.22686,Charleswood - Tuxedo - Westwood
42259192,49.90583,-97.0446,Transcona
42299084,49.78993,-97.17401,Waverley West
42365140,49.89411,-97.30787,St. James
42408782,49.89823,-97.13631,Point Douglas
42486260,49.89942,-97.13522,Point Douglas
42621091,49.89811,-97.17562,Daniel McIntyre
42646643,49.85696,-97.27633,Charleswood - Tuxedo - Westwood
42813425,49.85918,-97.15851,River Heights - Fort Garry
42830184,49.769305,-97.1897692,Waverley West
42943055,49.83822,-97.15557,River Heights - Fort Garry
42944185,49.82502,-97.05444,St. Vital
42965487,49.92123,-97.10788,Elmwood - East Kildonan
43059995,49.84003491708973,-97.15667654831311,River Heights - Fort Garry
43224355,49.88847,-97.14049,Fort Rouge - East Fort Garry
43268099,49.88781,-97.14015,Fort Rouge - East Fort Garry
43451577,49.89369,-97.14518,Daniel McIntyre
43489001,49.89902,-97.13603,Point Douglas
