id,first_review,last_review,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
53167419,2022-04-24,2023-05-14,8,6,1,4,5,5,5,5,5,4,1
53245722,2023-05-15,2023-06-10,2,2,2,5,5,5,5,5,5,5,2
53262068,2021-11-27,2023-06-10,25,12,3,5,5,5,5,5,5,5,1
53295394,2021-12-13,2023-05-14,51,37,1,5,5,5,5,5,5,5,3
53310203,2021-11-20,2023-05-15,13,7,1,5,5,5,5,5,5,4,1
53310284,2022-02-14,2023-01-03,10,7,0,5,5,5,5,5,5,4,1
53310895,2022-03-22,2022-06-18,2,1,0,5,5,5,5,5,5,5,0
53345105,2023-05-13,2023-06-01,3,3,3,5,5,5,5,5,5,5,3
53345225,2022-06-18,2023-05-21,3,3,1,5,5,5,5,5,5,5,0
53361304,2021-11-29,2022-08-03,7,1,0,4,4,4,5,5,5,4,0
53481879,2021-11-25,2023-06-01,72,48,6,5,5,5,5,5,5,5,4
53497917,2022-12-18,2023-06-10,20,20,3,5,5,5,5,5,5,5,3
53532012,2022-01-10,2023-05-21,8,6,1,5,5,5,5,5,5,5,0
53533856,2021-12-04,2023-05-29,104,70,6,5,5,5,5,5,5,5,6
53546198,2022-08-15,2022-10-14,6,6,0,4,5,4,5,5,5,4,1
53571073,2021-12-12,2023-05-23,30,20,2,5,5,5,5,5,5,5,2
53576939,2021-12-05,2023-05-22,41,28,2,5,5,5,5,5,5,5,2
53627805,2021-12-30,2023-05-15,30,21,1,5,5,5,5,5,5,5,2
53646235,2022-01-04,2023-05-18,13,5,1,5,5,5,5,5,5,5,1
53677361,2021-12-14,2023-05-23,54,34,2,5,5,5,5,5,5,5,3
53688452,2022-01-01,2022-06-23,25,2,0,4,5,4,5,5,5,5,1
53704642,2021-12-23,2022-12-30,15,9,0,5,5,5,5,5,5,5,1
53714436,2022-01-02,2023-03-30,24,16,0,5,5,5,5,5,5,5,1
53715553,2021-12-12,2023-06-09,122,81,3,5,5,5,5,5,5,5,7
53720378,2021-12-11,2023-05-24,7,1,1,4,5,5,5,5,4,4,0
53744482,2022-10-22,2023-01-16,15,15,0,5,5,5,5,5,5,5,2
53755034,2022-04-20,2023-06-02,13,11,1,4,5,5,5,5,5,4,1
53756247,2022-01-04,2023-05-03,3,2,0,4,4,4,5,5,5,5,0
53760756,2022-04-09,2023-04-24,8,3,0,4,4,4,5,4,4,4,1
53774439,2022-10-09,2023-04-22,8,8,0,5,5,5,5,5,5,5,1
53782642,2022-01-01,2023-06-03,36,30,4,5,5,5,5,5,5,5,2
53783087,2022-01-26,2023-06-04,20,15,5,5,5,5,5,5,5,5,1
53793889,2022-01-15,2023-03-06,13,7,0,5,5,5,5,5,5,5,1
53798530,2022-01-04,2022-08-15,6,1,0,5,5,5,5,5,5,5,0
53809788,2021-12-20,2023-06-04,55,35,4,5,5,5,5,5,5,5,3
53817538,2022-06-30,2023-06-02,28,28,4,5,5,5,5,5,5,5,2
53822920,2021-12-19,2023-05-21,12,4,1,5,5,5,5,5,5,5,1
53835586,2022-01-11,2023-05-01,21,12,0,5,5,5,5,5,5,5,1
53883198,2021-12-28,2022-06-30,13,1,0,5,5,5,5,5,5,5,1
53890779,2022-02-08,2023-06-09,102,77,7,5,5,5,5,5,5,5,6
53892650,2021-12-26,2023-05-14,34,23,1,5,5,5,5,5,5,5,2
53921282,2022-02-02,2023-06-06,57,43,5,5,5,5,5,5,5,5,3
53939088,2022-01-02,2023-05-22,37,34,3,5,5,5,5,5,5,5,2
53942000,2022-01-03,2023-04-23,20,11,0,5,5,5,5,5,5,5,1
53957925,2022-04-10,2023-04-09,34,29,0,5,5,5,5,5,5,5,2
53974224,2022-01-01,2023-05-14,33,24,1,5,5,5,5,5,5,5,2
54021961,2022-02-28,2022-12-12,5,2,0,5,5,5,5,5,5,5,0
54031700,2022-02-13,2023-05-24,21,9,2,5,5,5,5,5,5,5,1
54031769,2022-01-03,2023-05-14,20,14,1,4,5,5,4,5,5,4,1
54052290,2022-01-14,2023-06-03,14,9,2,5,5,5,5,5,5,5,1
54102743,2022-02-12,2022-02-12,1,0,0,1,1,1,1,1,1,1,0
54108468,2022-02-01,2022-12-19,5,3,0,5,5,5,5,5,5,5,0
54139500,2022-03-16,2023-06-01,44,35,1,5,5,5,5,5,5,5,3
54149036,2022-01-15,2023-06-03,32,24,3,5,5,5,5,5,5,5,2
54164382,2022-01-17,2023-03-06,38,24,0,5,5,5,5,5,5,5,2
54216647,2022-02-13,2023-05-22,60,40,1,4,4,5,5,4,5,4,4
54222673,2022-04-09,2022-11-30,8,7,0,5,5,5,5,5,5,5,1
54229182,2022-01-24,2023-06-01,39,34,1,5,5,4,5,5,5,5,2
54305668,2022-05-15,2022-12-27,17,13,0,5,5,5,5,5,5,5,1
54319194,2022-02-02,2023-05-15,36,22,1,5,5,5,5,5,5,5,2
54339659,2022-02-12,2023-04-16,35,31,0,5,5,4,5,5,5,5,2
54356490,2022-02-06,2023-06-05,70,51,5,5,5,5,5,5,5,5,4
54359551,2022-02-27,2022-09-25,11,5,0,5,5,5,5,5,5,5,1
54393358,2022-02-21,2023-05-29,57,43,4,5,5,5,5,5,5,5,4
54398948,2022-02-28,2023-06-06,39,31,4,5,5,4,5,5,5,5,2
54405527,2022-07-08,2022-12-29,6,6,0,4,5,5,5,5,5,5,1
537674142501729619,2022-01-22,2022-09-16,42,12,0,5,5,5,5,5,5,5,2
542724734337928335,2022-02-09,2022-10-31,17,6,0,4,5,4,5,5,5,5,1
